Location,Latitude,Longitude
Melbourne,-37.8142454,144.9631732
Paris,48.8534951,2.3483915
New York,40.7127281,-74.0060152
London,51.5074456,-0.1277653
Miami,25.7741728,-80.19362
Indian Wells,33.7217965,-116.338303
Rome,41.8933203,12.4829321
Madrid,40.4167047,-3.7035825
Charleston,32.7884363,-79.9399309
Cincinnati,39.1014537,-84.5124602
Birmingham,52.4796992,-1.9026911
Beijing,40.190632,116.412144
Dubai,25.0742823,55.1885387
Doha,25.2856329,51.5264162
Tokyo,35.6768601,139.7638947
Eastbourne,50.7664372,0.2781546
Strasbourg,48.584614,7.7507127
Bogota,4.6534109,-74.0836547
Monterrey,25.6802019,-100.315258
Auckland,-36.852095,174.7631803
Hobart,-42.8825088,147.3281233
's-Hertogenbosch,51.6889387,5.303116
Linz,48.3059078,14.286198
Istanbul,41.006381,28.9758715
Stuttgart,48.7784485,9.1800132
Acapulco,16.8680495,-99.8940182
Seoul,37.5666791,126.9782914
Luxembourg,49.6112768,6.129799
Moscow,55.625578,37.6063916
Sydney,-33.8698439,151.2082848
Guangzhou,23.1301964,113.2592945
Prague,50.0874654,14.4212535
Tashkent,41.3123363,69.2787079
Budapest,47.4978789,19.0402383
Toronto,43.6534817,-79.3839347
Montreal,45.5031824,-73.5698065
Palermo,38.1112268,13.3524434
Quebec,52.4760892,-71.8258668
Brisbane,-27.4689623,153.0235009
New Haven,41.3082138,-72.9250518
Wuhan,30.5951051,114.2999353
Washington,38.8950368,-77.0365427
Stanford,37.4265407,-122.1703055
Bad Gastein,47.1144954,13.1352653
Bastad,56.4267895,12.8607151
Pattaya,12.9366924,100.8865002
Nottingham,52.9534193,-1.1496461
Shenzhen,22.5445741,114.0545429
Kuala Lumpur,3.1526589,101.7022205
Memphis,35.1460249,-90.0517638
NÃ¼rnberg,49.453872,11.077298
Osaka,34.6937569,135.5014539
Berlin,52.510885,13.3989367
St. Petersburg,59.938732,30.316229
Tianjin,39.3032619,117.4163641
Estoril ,38.7095707,-9.3901368
Bucharest,44.4378654,26.0863631
Rabat,34.0218454,-6.8408929
Portoroz,45.5146489,13.5910112
Fes,34.0346534,-5.0161926
Barcelona,41.3825802,2.177073
Adelaide,-34.9281805,138.5999312
Los Angeles,34.0536909,-118.242766
Hong Kong,22.350627,114.1849161
Baku,40.3755885,49.8328009
Warsaw,52.2337172,21.0714322
Guadalajara,20.6720375,-103.338396
Lausanne,46.5218269,6.6327025
Florianopolis,-27.5973002,-48.5496098
Mallorca,39.613432,2.8829185
Katowice,50.2137321,19.0058878
Lyon,45.7578137,4.8320114
Nanchang,28.6472124,116.0348483
San Diego,32.7174202,-117.162772
Amelia Island,30.6077379,-81.4600909
Carlsbad,33.1580933,-117.3505966
San Jose,37.3361663,-121.890591
Hua Hin,12.5699326,99.9573437
Copenhagen,55.6867243,12.5700724
Bad Homburg,50.2363508,8.5980265
Gstaad,46.4761004,7.2873587
Marbella,36.508976,-4.88562
Rio de Janeiro,-22.9110137,-43.2093727
Abu Dhabi,24.4538352,54.3774014
Hamburg,53.550341,10.000654
Bali,-8.2271303,115.1919203
Brussels,50.8465573,4.351697
Chicago,41.8755616,-87.6244212
Ostrava,49.8349139,18.2820084
Antwerp,51.2211097,4.3997081
Singapore,1.357107,103.8194992
Zhuhai,22.273734,113.5721327
Gold Coast,-28.0023731,153.4145987
Stockholm,59.3251172,18.0710935
Taipei,25.0375198,121.5636796
Marrakech,31.6258257,-7.9891608
Parma,44.6952006,10.0979869
Oeiras,38.6925777,-9.3123076
Hiroshima,34.3917241,132.4517589
Cleveland,41.4996574,-81.6936772
Lugano,46.0050102,8.9520281
Cluj-Napoca,46.769379,23.5899542
Dallas,32.7762719,-96.7968559
Ponte Vedra Beach,30.2274645,-81.3800824
Bangalore,12.9881567,77.6226
Monreal,45.5031824,-73.5698065
Austin,30.2711286,-97.7436995
Belgrade,44.8178131,20.4568974
Gdynia,54.5233304,18.6040279
Jurmala,56.9727164,23.7886979
Nur-Sultan,51.1282205,71.4306682
Tenerife,28.2935785,-16.6214471
Monastir,35.7707582,10.8280511
Tallinn,59.4372155,24.7453688
Chennai,13.0836939,80.270186
Granby,45.3990409,-72.721834
Courmayeur,45.7874248,6.9730618
Rogers Cup,51.5635354,-1.771321
Zurich,47.3744489,8.5410422
Sofia,42.6977028,23.3217359
Biel,47.1402077,7.2439029
Kaohsiung,22.6203348,120.3120375
Kolkata,22.5726459,88.3638953
Bangkok ,13.7524938,100.4935089
Vina del Mar,-33.0244535,-71.5517636
Marrakesh,31.6258257,-7.9891608
Merida,38.9174665,-6.3443977
Lexington,38.0464066,-84.4970393
College Park,38.980666,-76.9369189
Forest Hills,40.7231009,-73.8466125
Zhengzhou,34.7472531,113.619321
Fort Worth,32.753177,-97.3327459
